ASOF01   Date 01/24/2002 Time 21:29:09   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 011

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield   Identifier      F   Maturity      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - FIXED INCOME
Portfolio  - FI        FIXED INCOME
Instrument - FHLMC     FEDERAL HOME LOAN MORTGAGE POOL

FHLMC GR 85-0015               AAA+8.5000 10.241 31347BAQ5        M 05/01/2005       181,992.48        177,737.49        191,016.27
FHLMC GR 85-0082               AAA+9.0000  9.136 31347BCT7        M 10/01/2005       140,516.80        140,150.90        148,947.81

Instrument Total             149                                                  36,131,412.54     36,151,039.05     38,528,648.46

Instrument -FHLMC-G   FHLMC GOLD

FHLMC GOLD # C00210            AAA+8.0000  7.578 31292GGT7        M 01/01/2023    11,346,661.63     11,575,551.68     12,137,259.19
FHLMC GOLD # G00198            AAA+8.0000  7.205 31283GGF8        M 01/01/2024    13,407,864.54     13,900,132.77     14,342,079.85
FHLMC GOLD #A00850             AAA+0.2500  5.153 31295V5K2        M 10/01/2022       346,724.56        390,863.81        367,022.40
FHLMC GOLD #A00854             AAA+0.2500  7.486 31295V5P1        M 11/01/2009       241,441.79        256,619.86        255,576.20
FHLMC GOLD #A01179             AAA+8.0000  7.238 31295WJY5        M 12/01/2019       928,498.21        954,146.44      1,002,143.61
FHLMC GOLD #C00290             AAA+6.5000  8.486 31292GKB1        M 01/01/2024    26,219,914.08     23,848,358.53     26,681,821.56
FHLMC GOLD #C00425             AAA+7.5000  7.367 31292GPJ9        M 10/01/2025    14,551,926.00     14,676,498.79     15,234,265.81
FHLMC GOLD #C00428             AAA+7.5000  7.337 31292GPM2        M 11/01/2025    10,388,846.15     10,489,893.41     10,875,979.15
FHLMC GOLD #C00438             AAA+7.0000  7.072 31292GPX8        M 12/01/2025    14,849,524.80     14,836,979.75     15,269,964.35
FHLMC GOLD #C00742             AAA+6.5000  7.208 31292GZF6        M 04/01/2029    16,211,159.43     15,627,609.95     16,393,156.72
FHLMC GOLD #C00760             AAA+6.5000  7.290 31292GZZ2        M 05/01/2029    38,912,993.59     37,346,117.59     39,349,856.80
FHLMC GOLD #C00785             AAA+6.5000  7.279 31292G2S4        M 06/01/2029    20,977,164.51     20,144,673.27     21,212,668.15
FHLMC GOLD #C00835             AAA+6.5000  7.017 31292G4U7        M 07/01/2029    80,779,900.73     78,730,070.60     81,686,789.74
FHLMC GOLD #C00896             AAA+7.5000  7.585 31292G7H3        M 12/01/2029    27,777,680.00     27,724,791.42     28,841,287.37
FHLMC GOLD #C00910             AAA+7.5000  7.703 31292HAK0        M 01/01/2030    14,293,507.50     14,193,880.10     14,829,656.96
FHLMC GOLD #C01271             AAA+6.5000  6.454 31292HMU5        M 00/00/0000    25,000,000.00     25,089,165.28     25,205,416.67
FHLMC GOLD #C01277             AAA+7.0000  6.427 31292HM27        M 00/00/0000    30,808,121.98     31,441,376.77     31,575,346.91
FHLMC GOLD #C19467             AAA+6.5000  6.342 31293FQU4        M 12/01/2028    35,092,055.44     35,401,493.32     35,505,322.88
FHLMC GOLD #C22347             AAA+6.0000  6.236 31293KTC0        M 02/01/2029    28,933,317.29     28,632,942.18     28,682,754.77
FHLMC GOLD #C23918(low wac)    AAA+6.5000  6.556 31293MK76        M 03/01/2029    47,588,036.05     47,561,797.44     48,122,291.07
FHLMC GOLD #C25795(low wac)    AAA+6.5000  6.556 31293PNL5        M 04/01/2029    14,170,531.27     14,162,819.19     14,329,619.10
FHLMC GOLD #C28188             AAA+6.5000  7.231 31293SCZ0        M 06/01/2029    14,205,692.29     13,681,322.82     14,365,174.86
FHLMC GOLD #C29186             AAA+6.5000  7.052 31293TF36        M 07/01/2029    20,891,355.63     20,317,135.41     21,125,895.92
FHLMC GOLD #C29188             AAA+6.5000  7.462 31293TF51        M 05/01/2029    16,731,154.51     15,918,916.68     16,918,989.61
FHLMC GOLD #C29245             AAA+6.5000  7.457 31293THW0        M 07/01/2029    21,744,432.69     20,687,667.42     21,988,550.18
FHLMC GOLD #C29249             AAA+6.0000  7.157 31293TH26        M 07/01/2029    21,977,232.20     20,595,872.46     21,786,909.37
FHLMC GOLD #C29986             AAA+6.5000  7.138 31293UCX0        M 08/01/2029    18,942,475.00     18,333,546.91     19,155,135.85
FHLMC GOLD #C30083             AAA+6.5000  7.138 31293VCU4        M 08/01/2029    21,101,005.00     20,422,688.43     21,337,898.95
FHLMC GOLD #C30265             AAA+6.5000  7.335 31293VJJ2        M 08/01/2029    21,355,235.20     20,449,633.81     21,594,983.31
FHLMC GOLD #C32961             AAA+6.5000  7.214 31293YJE7        M 11/01/2029       779,636.24        751,163.90        788,388.96
FHLMC GOLD #C35366             AAA+7.5000  7.703 31294B6B6        M 01/01/2030    12,772,545.00     12,683,518.90     13,261,605.75
FHLMC GOLD #C80343             AAA+7.0000  7.387 31335GLY9        M 09/01/2025    16,654,024.21     16,384,123.46     17,125,555.15
