ASOF03   Date 01/24/2002 Time 21:29:53   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 007

Monthly Market Portfolio

Investment Desc                                               Yield         Identifier  Maturity    Book Value        Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - REAL ESTATE
Portfolio  - RES       RE SOUTH REGION
Instrument - R         RETAIL

LAKELAND PLAZA                 CUMMINS, GA                     9.500         RLAKPL                 21,691,549.74     24,530,000.00
LONGS DRUGS #02                GRASS VALLEY                    8.750         RLD002                  1,100,000.00      1,900,000.00
LONGS DRUGS #05                LANCASTER                       8.750         RLD005                    700,000.00        900,000.00
LONGS DRUGS #08                MADERA                          9.000         RLD008                    925,000.00        900,000.00
LONGS DRUGS #09                SACRAMENTO                      9.250         RLD009                    925,000.00        800,000.00
LONGS DRUGS #11                WOODLAND                        9.000         RLD011                  1,000,000.00      1,300,000.00
LONGS DRUGS #13                SALINAS                        10.375         RLD013                    900,000.00      1,500,000.00
LONGS DRUGS #17                SIMI VALLEY                    10.375         RLD017                  1,500,000.00      1,500,000.00
LONGS DRUGS #18                REDLANDS                       10.375         RLD018                  1,000,000.00      1,200,000.00
LONGS DRUGS #19                FRESNO                         10.375         RLD019                  1,350,000.00      1,300,000.00
LONGS DRUGS #20                BAKERSFIELD                    10.625         RLD020                  1,450,000.00      1,400,000.00
LUCKY #01                      TUCSON                          8.750         RLS001                  1,150,000.00      1,370,000.00
LUCKY #04                      TRUCKEE                         8.750         RLS004                  1,600,000.00      2,100,000.00
LUCKY #05                      ORCUTT                          8.750         RLS005                  1,300,000.00      1,300,000.00
LUCKY #10                      ARROYO GRANDE                   8.750         RLS010                  1,400,000.00      1,400,000.00
LUCKY #11                      ATASCADERO                      9.100         RLS011                  1,750,000.00      1,500,000.00
PRESTON VILLAGE CENTER         PLANO, TX                       0.000         RPRSTV                 46,681,715.06     44,279,380.81
SAFEWAY #09                    WILLIAMSBURG                   10.500         RSAF09                  2,151,000.00      2,300,000.00
SOUTHLAKE                      DALLAS TX                       0.000         REGDAL                  4,668,387.09      4,380,000.00
SUPER X #01                    WINCHESTER                     10.250         RSPX01                    639,058.80        500,000.00
SUPER X #04                    PADUCAH                        10.250         RSPX04                    531,000.00        600,000.00
TG&Y #01                       ABBEVILLE                      10.000         RTGY01                    134,300.00        300,000.00
TG&Y #02                       SAN BENITO                     10.000         RTGY02                  1,500,000.00      1,700,000.00
TG&Y #03                       LUCEDALE                       10.000         RTGY03                     67,742.00        600,000.00
TG&Y #05                       OZARK                          10.000         RTGY05                    781,054.30        750,000.00
TG&Y #13                       LANDRUM SC                     10.000         RTGY13                    700,000.00        300,000.00
TG&Y #19                       HATTIESBURG                    10.000         RTGY19                  1,973,006.55      2,500,000.00
TG&Y #23                       VALDOSTA                       10.000         RTGY23                    745,649.92      2,700,000.00
TG&Y #29                       HAZARD                         10.000         RTGY29                  2,000,000.00      1,800,000.00
WAL-MART #03                   SPRINGFIELD                    10.000         RWAL03                  1,486,566.00      2,200,000.00
WAL-MART #25                   HOUSE SPRINGS                  10.000         RWAL25                  1,614,133.00      2,200,000.00
WAL-MART #28                   GRAHAM                         10.000         RWAL28                  1,457,000.00      1,900,000.00
WAL-MART #30                   MARLIN                         10.000         RWAL30                  1,365,000.00      1,500,000.00
WAL-MART #38                   MARSHALL                       10.000         RWAL38                  1,832,846.00      2,400,000.00
WAL-MART #39                   EDMOND                         10.000         RWAL39                  2,565,000.00      3,900,000.00
WAL-MART #42                   RUSSELLVILLE                   10.000         RWAL42                  1,503,000.00      1,800,000.00
WAL-MART #43                   EL CAMPO                       10.000         RWAL43                  1,697,000.00      2,200,000.00
WAL-MART #44                   HOT SPRINGS                    10.000         RWAL44                  2,212,000.00      2,200,000.00
WAL-MART #52                   PARSONS                        10.000         RWAL52                  1,449,000.00      2,200,000.00
