ASOF10   Date 01/20/2004 Time 18:59:36   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2003 To 12/31/2003  Page 075

Monthly Market Portfolio

Investment Desc                              Yield     Identifier F Ticker      Shares              Cost              Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Instrument - COM       COMMON STOCK

VALEANT PHARMACEUTICALS                      1.232     91911X104 Q VRX            255,619        5,574,645.32        6,428,817.85
VALENCE TECHNOLOGY INC                       0.000     918914102   VLNC            59,800          196,455.97          230,230.00
VALERO ENERGY CORP.                          1.035     91913Y100 Q VLO            410,128       14,064,535.21       19,005,331.52
VALHI INC NEW                                1.604     918905100   VHI             20,800          222,911.05          311,168.00
VALLEY NATL BANCORP                          3.082     919794107   VLY             80,000        2,205,937.97        2,335,999.98
VALMONT INDUSTRIES                           1.382     920253101   VMI             10,900          217,059.18          252,335.00
VALSPAR CORP                                 1.456     920355104   VAL             84,800        3,389,833.54        4,190,816.00
VALUECLICK, INC                              0.000     92046N102   VCLK           111,666          830,434.40        1,013,927.28
VALUEVISION INTL INC                         0.000     92047K107   VVTV            55,218          788,119.18          922,140.60
VANS INC                                     0.000     921930103   VANS           158,863        1,228,344.95        1,812,626.83
VARCO INTERNATIONAL INC.                     0.000     922122106   VRC            196,136        3,782,596.60        4,046,285.67
VARIAN INC.                                  0.000     922206107   VARI            99,802        3,485,827.91        4,164,737.46
VARIAN MEDICAL SYSTEMS                       0.000     92220P105   VAR            209,924        9,489,042.53       14,505,748.39
VARIAN SEMICONDUCTOR EQUIPMENT ASSOC         0.000     922207105   VSEA            41,245        1,230,884.11        1,801,994.05
VASTERA INC                                  0.000     92239N109   VAST            32,400          166,405.88          129,600.00
VCA ANTECH INC                               0.000     918194101   WOOF            40,750          935,407.85        1,262,435.00
VECTOR GROUP LTD                             9.803     92240M108   VGR             19,105          319,450.27          311,793.61
VECTREN CORPORATION                          4.624     92240G101   VVC            174,000        3,749,861.57        4,289,099.99
VEECO INSTRUMENTS INC                        0.000     922417100   VECO            27,500          791,584.73          775,500.00
VENTANA MED SYS INC                          0.000     92276H106   VMSI            29,400          904,306.19        1,158,360.00
VENTAS INC.                                  4.863     92276F100   VTR             81,800        1,333,564.18        1,799,600.00
VENTIV HEALTH INC.                           0.000     922793104   VTIV            89,300          867,183.63          817,095.00
VERINT SYS INC                               0.000     92343X100   VRNT               200            5,098.70            4,512.00
VERISIGN INC                                 0.000     92343E102   VRSN           411,931        5,776,075.81        6,714,475.32
VERISITY LTD                                 0.000     M97385112   VRST             9,748          124,072.63          124,287.00
VERITAS DGC INC.                             0.000     92343P107   VTS             82,086        1,000,891.50          860,261.28
VERITAS SOFTWARE CORPORATION                 0.000     923436109   VRTS         1,107,600       32,165,046.68       41,158,416.00
VERITY INC.                                  0.000     92343C106   VRTY            51,900        1,279,722.59          866,211.00
VERIZON COMMUNICATIONS                       4.390     92343V104 Q VZ           5,759,285      234,371,644.54      202,035,717.79
VERSO TECHNOLOGIES INC                       0.000     925317109   VRSO           118,145          378,385.09          378,064.00
VERTEX PHARMAREUTICALS INC                   0.000     92532F100   VRTX           114,800        2,531,268.97        1,174,404.00
VIACOM INC-CLASS B                           0.540     925524308   VIA.B        3,599,293      139,965,764.32      159,736,623.37
VIAD CORP                                    1.440     92552R109   VVI            166,100        3,653,691.72        4,152,500.01
VIASAT INC.                                  0.000     92552V100   VSAT            32,300          659,052.51          618,222.00
VIASYS HEALTHCARE INC                        0.000     92553Q209   VAS             61,000        1,094,326.60        1,256,600.00
VICAL INC                                    0.000     925602104   VICL            12,400           62,682.44           61,008.00
VICOR CORP                                   0.000     925815102   VICR            23,200          383,752.69          264,712.00
VICURON PHARMACEUTICALS INC                  0.000     926471103   MICU            47,300          692,308.86          882,145.00
VIGNETTE CORPORATION                         0.000     926734104   VIGN           183,900          442,168.76          417,453.00
VINTAGE PETROLEUM INC.                       1.496     927460105 Q VPI             59,800          883,538.56          719,393.99
