LQR;8-A
FI;11-A
FIDELITY;4-A
SALOMON;4-A
HUFF;4-A
OAKTREE;4-A
PIMCO;4-A
LC1;7-T
LCA;7-T
LCP;7-T
LCV;7-T
MCV;7-T
QN1;7-T
RMG;7-T
6TR;7-T
QN2;7-T
QZ2;7-T
5GS;7-T
5IN;7-T
6CH;7-T
6DG;7-T
6EA;7-T
6FC;7-T
6FT;7-T
6LA;7-T
6LC;7-T
6MA;7-T
6NC;7-T
EQS;7-Y
EQS-QUAN;7-Y
I-EAFE;6-T
I-EAFEVAL;6-T
I-LAZAR;6-T
I-PAN;6-T
I-QUAN;6-T
EQS-E;7-Y
I-ACT;6-T
I-EMO;6-T
I-ARROW;4-A
I-BERNS;4-A
I-BERNS2;4-A
I-MARVIN;4-A
I-BABS;4-A
I-GEN;4-A
I-MARVEM;4-A
I-SANF;4-A
RE-EAST;4-A
RE-MIDWEST;4-A
RE-SOUTH;4-A
RE-WEST;4-A
RE-NATURAL;4-A
RE-OTHER;4-A
RE-OPPFUND;4-A
RE-REIT;6-P
RE-INTL;4-A
AI-DPE;5-A
AI-GIP;5-A
AI-OTH;5-A
AI-SD;7-T
AI-VC;5-A
