LQR;7-Y
LQR-CONTRA;8-Y
5IN;6-T
6CH;6-T
6DG;6-T
6EA;6-T
6FC;6-T
6FT;6-T
6MA;6-T
6NC;6-T
EQS;6-F
EQS-E;6-F
I-ACT;5-T
I-BERNS2;5-T
I-EAFE;5-T
I-EAFEVAL;5-T
I-EMO;5-T
I-EMQUAN;5-T
I-LAZAR;5-T
I-MARVEM;5-T
I-MARVIN;5-T
I-PAN;5-T
I-QUAN;5-T
I-VAL;5-T
I-ARROW;3-A
I-BABS;3-A
I-BERNS;3-A
I-GEN;3-A
I-MFS;3-A
I-SANF;3-A
GQUAN;5-T
RE-DOM;4-S
RE-EAST;4-S
RE-INTL;4-S
RE-MIDWEST;4-S
RE-OPPFUND;4-S
RE-OTHER;4-S
RE-REIT;5-P
RE-SOUTH;4-S
RE-WEST;4-S
AI-DPE;4-T
AI-ENR;6-T
AI-FDIC;6-T
AI-GIP;4-T
AI-HF;4-T
AI-INF;4-T
AI-OTH;4-T
AI-PPE;5-T
AI-PPIF;4-T
AI-SD;6-T
AI-SF;4-T
AI-VC;4-T
