Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;FANNIE DISCOUNT NOTE;;14,998,123.29;COMMERCIAL PAPER (DISCOUNT);15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;111,982,784.54;COMMERCIAL PAPER (DISCOUNT);112,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;324,944,782.32;COMMERCIAL PAPER (DISCOUNT);325,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;99,988,542.33;COMMERCIAL PAPER (DISCOUNT);100,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;21,967,866.36;COMMERCIAL PAPER (DISCOUNT);22,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;64,857,944.84;COMMERCIAL PAPER (DISCOUNT);65,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;62,992,110.14;COMMERCIAL PAPER (DISCOUNT);63,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;153,990,199.39;COMMERCIAL PAPER (DISCOUNT);154,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;41,989,070.24;COMMERCIAL PAPER (DISCOUNT);42,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;100,984,120.55;COMMERCIAL PAPER (DISCOUNT);101,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;71,983,958.91;COMMERCIAL PAPER (DISCOUNT);72,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;65,975,020.73;COMMERCIAL PAPER (DISCOUNT);66,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;64,924,494.52;COMMERCIAL PAPER (DISCOUNT);65,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;1,996,876.94;COMMERCIAL PAPER (DISCOUNT);2,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;48,921,107.23;COMMERCIAL PAPER (DISCOUNT);49,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;96,833,252.20;COMMERCIAL PAPER (DISCOUNT);97,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;15,016,543.02;U S TREASURIES;15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;20,010,374.72;U S TREASURIES;20,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;5,051,836.07;U S TREASURIES;5,000,000.00;LIQUIDITY RESERVE;LQR;0
