Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;TREASURY BILL;;999,636.05;COMMERCIAL PAPER (DISCOUNT);1,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;141,888,182.25;COMMERCIAL PAPER (DISCOUNT);142,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;8,985,981.61;COMMERCIAL PAPER (DISCOUNT);9,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;177,583,258.01;COMMERCIAL PAPER (DISCOUNT);178,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;4,997,741.03;COMMERCIAL PAPER (DISCOUNT);5,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;3,997,814.43;COMMERCIAL PAPER (DISCOUNT);4,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;125,918,610.28;COMMERCIAL PAPER (DISCOUNT);126,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;174,839,272.72;COMMERCIAL PAPER (DISCOUNT);175,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;80,927,333.63;COMMERCIAL PAPER (DISCOUNT);81,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;170,842,977.15;COMMERCIAL PAPER (DISCOUNT);171,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;49,933,930.03;COMMERCIAL PAPER (DISCOUNT);50,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;27,965,501.04;COMMERCIAL PAPER (DISCOUNT);28,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;56,915,312.01;COMMERCIAL PAPER (DISCOUNT);57,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;44,911,597.04;COMMERCIAL PAPER (DISCOUNT);45,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;108,772,886.97;COMMERCIAL PAPER (DISCOUNT);109,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;185,593,904.39;COMMERCIAL PAPER (DISCOUNT);186,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;235,414,623.05;COMMERCIAL PAPER (DISCOUNT);236,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;TREASURY BILL;;83,778,019.08;COMMERCIAL PAPER (DISCOUNT);84,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY FRN;;2,008,283.63;U S TREASURIES;2,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY FRN;;10,029,705.92;U S TREASURIES;10,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;5,002,881.77;U S TREASURIES;5,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;3,010,419.20;U S TREASURIES;3,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;US TREASURY N/B;;5,002,997.25;U S TREASURIES;5,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;TEACHERS;UNSETTLED BUYS;;-55,644,510.00;COMMON STOCK;;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;TEACHERS;UNSETTLED SELLS;;25,770,890.00;COMMON STOCK;;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;TEACHERS;3M COMPANY;;7,535,654.00;COMMON STOCK;42,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ABBOTT LABORATORIES;;987,137.00;COMMON STOCK;25,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ABIOMED INC;;1,566,252.00;COMMON STOCK;13,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ACCENTURE PLC;;3,830,151.00;COMMON STOCK;32,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ACTIVISION BLIZZARD INC;;3,564,057.00;COMMON STOCK;98,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ACUITY BRANDS INC;;3,901,534.00;COMMON STOCK;16,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ADOBE SYSTEMS INC.;;3,654,725.00;COMMON STOCK;35,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AECOM;;1,687,104.00;COMMON STOCK;46,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AETNA INC.;;1,715,058.00;COMMON STOCK;13,830.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AFLAC INC;;2,582,160.00;COMMON STOCK;37,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AGILENT TECHNOLOGIES INC;;2,031,976.00;COMMON STOCK;44,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALBEMARLE CORP;;4,054,368.00;COMMON STOCK;47,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALIGN TECHNOLOGY INC;;1,739,953.00;COMMON STOCK;18,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALKERMES PLC;;1,178,296.00;COMMON STOCK;21,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLEGHANY CORP DEL;;668,932.00;COMMON STOCK;1,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLEGION PLC;;1,021,824.00;COMMON STOCK;15,966.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLERGAN PLC;;205,810.00;COMMON STOCK;980.00;INTECH (Q);5IN;0
