Ohio_STR;12/31/2018;GLOBAL LIQUIDITY RESERVE;IL-GLR;;INTERNATIONAL FUNDS;0.00;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;12/31/2018;ALBERTA PROVINCE;01306NN87;4,997,694.00;COMMERCIAL PAPER (DISCOUNT);5,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;APPLE INC;03785EQ15;19,917,289.00;COMMERCIAL PAPER (DISCOUNT);20,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;BOEING COMPANY;09702MP64;14,961,726.00;COMMERCIAL PAPER (DISCOUNT);15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;COCA-COLA CO;19121BQ85;24,879,487.00;COMMERCIAL PAPER (DISCOUNT);25,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;COCA-COLA CO;19121BQB8;14,927,362.00;COMMERCIAL PAPER (DISCOUNT);15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FANNIE DISCOUNT NOTE;313588BH7;34,926,640.00;COMMERCIAL PAPER (DISCOUNT);35,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FANNIE DISCOUNT NOTE;313588CM5;59,759,940.00;COMMERCIAL PAPER (DISCOUNT);60,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FED HOME LN DISCOUNT NT;313384BF5;49,899,700.00;COMMERCIAL PAPER (DISCOUNT);50,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FED HOME LN DISCOUNT NT;313384BG3;49,897,800.00;COMMERCIAL PAPER (DISCOUNT);50,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FED HOME LN DISCOUNT NT;313384BQ1;29,922,060.00;COMMERCIAL PAPER (DISCOUNT);30,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FED HOME LN DISCOUNT NT;313384CK3;36,856,625.00;COMMERCIAL PAPER (DISCOUNT);37,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;FED HOME LN DISCOUNT NT;313384CM9;86,649,738.00;COMMERCIAL PAPER (DISCOUNT);87,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;PROCTER & GAMBLE CO;74271UNJ5;9,989,019.00;COMMERCIAL PAPER (DISCOUNT);10,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;PROCTER & GAMBLE CO;74271UNV8;9,981,421.00;COMMERCIAL PAPER (DISCOUNT);10,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;PROCTER & GAMBLE CO;74271UPS3;19,922,915.00;COMMERCIAL PAPER (DISCOUNT);20,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;QUEBEC PROVINCE;74800KQ13;24,897,808.00;COMMERCIAL PAPER (DISCOUNT);25,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796PK9;175,000,000.00;COMMERCIAL PAPER (DISCOUNT);175,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796PP8;54,900,565.00;COMMERCIAL PAPER (DISCOUNT);55,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796PT0;179,328,785.00;COMMERCIAL PAPER (DISCOUNT);180,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796PX1;164,093,688.00;COMMERCIAL PAPER (DISCOUNT);165,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796QS1;159,920,627.00;COMMERCIAL PAPER (DISCOUNT);160,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796QT9;59,943,547.00;COMMERCIAL PAPER (DISCOUNT);60,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796QX0;84,759,759.00;COMMERCIAL PAPER (DISCOUNT);85,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796QY8;99,672,963.00;COMMERCIAL PAPER (DISCOUNT);100,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796QZ5;139,415,055.00;COMMERCIAL PAPER (DISCOUNT);140,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796RB7;139,352,139.00;COMMERCIAL PAPER (DISCOUNT);140,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796RC5;89,549,888.00;COMMERCIAL PAPER (DISCOUNT);90,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796RD3;149,080,247.00;COMMERCIAL PAPER (DISCOUNT);150,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;TREASURY BILL;912796UG2;390,000,000.00;COMMERCIAL PAPER (DISCOUNT);390,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;UNILEVER CAPITAL CORP;90477ENU4;14,972,613.00;COMMERCIAL PAPER (DISCOUNT);15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;UNILEVER CAPITAL CORP;90477EP40;17,958,318.00;COMMERCIAL PAPER (DISCOUNT);18,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;WALMART STORES INC;93114FNE0;14,986,904.00;COMMERCIAL PAPER (DISCOUNT);15,000,000.00;LIQUIDITY RESERVE;LQR;0
Ohio_STR;12/31/2018;CASH;IT-LQT2;197,342.00;COMMON STOCK;197,341.82;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;12/31/2018;UNSETTLED BUYS;UNSET-BUYS;-57,967,760.00;COMMON STOCK;-57,967,759.50;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;12/31/2018;UNSETTLED SELLS;UNSET-SELLS;202,644,268.00;COMMON STOCK;202,644,268.12;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;12/31/2018;S&P 500 EMINI FUTURES MAR19;ESH9;-1,484,331,000.00;EQUITY FUTURES CONTRACTS;-11,850.00;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;12/31/2018;TBA-INCOME;TBA-INCOME;-83,114,311.54;To Be announced mortgages;;LQR-CONTRA ASSETS;LQR-CONTRA;0
Ohio_STR;12/31/2018;AMXCA 2017-1 A;02587AAJ3;26,715,417.00;ABSCARD BULLET MATURITY;27,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AMXCA 2017-3 A (4/15/20);02582JHE3;22,652,944.33;ABSCARD BULLET MATURITY;23,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BACCT 2017-A1 (3/16/2020);05522RCW6;49,452,737.33;ABSCARD BULLET MATURITY;50,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CCCIT 2017-A2 A2  (1/17/19);17305EGA7;20,147,865.33;ABSCARD BULLET MATURITY;20,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CCCIT 2017-A3 A3 (4/7/20);17305EGB5;22,802,303.00;ABSCARD BULLET MATURITY;23,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CCCIT 2017-A8 A8 (8/7/2020);17305EGG4;22,729,814.00;ABSCARD BULLET MATURITY;23,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CHAIT 2016-A2 A (6/15/19);161571HC1;24,832,990.22;ABSCARD BULLET MATURITY;25,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;DCENT 2014-A4 A4 (6/17/19);254683BK0;17,451,396.89;ABSCARD BULLET MATURITY;17,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDF 2016-5 A1 (11/15/2019);34528QFD1;9,910,505.33;ABSCARD BULLET MATURITY;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDR 2014-1 (5/15/2019);34530MAA7;13,223,484.89;ABSCARD BULLET MATURITY;13,250,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AMXCA 2018-5 A  (5/15/23);02582JJB7;15,905,186.33;ABSCARD FLOAT BULLET MATURITY;16,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CCCIT 2018-A2 A2 (1/20/23);17305EGL3;21,657,709.61;ABSCARD FLOAT BULLET MATURITY;21,800,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CHAIT 2018-A1 A1 (4/15/21);161571HN7;10,978,613.72;ABSCARD FLOAT BULLET MATURITY;11,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0D75;7,881,528.00;AGENCY BONDS WITH COUPONS;8,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0F73;1,963,227.33;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0H55;987,497.25;AGENCY BONDS WITH COUPONS;1,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0J20;8,822,378.75;AGENCY BONDS WITH COUPONS;9,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0J53;2,002,168.44;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0K36;6,226,921.60;AGENCY BONDS WITH COUPONS;6,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0N33;2,980,525.58;AGENCY BONDS WITH COUPONS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0N82;1,946,541.56;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0Q22;10,947,527.38;AGENCY BONDS WITH COUPONS;11,700,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0Q89;3,892,193.34;AGENCY BONDS WITH COUPONS;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0S38;9,348,589.11;AGENCY BONDS WITH COUPONS;9,400,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0T29;4,965,905.00;AGENCY BONDS WITH COUPONS;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0T45;5,903,382.99;AGENCY BONDS WITH COUPONS;6,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0T60;5,941,402.00;AGENCY BONDS WITH COUPONS;6,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0T78;4,924,823.89;AGENCY BONDS WITH COUPONS;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0T94;12,035,310.00;AGENCY BONDS WITH COUPONS;12,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0U35;21,111,877.50;AGENCY BONDS WITH COUPONS;21,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0U43;16,323,280.00;AGENCY BONDS WITH COUPONS;16,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0ZG1;2,997,052.83;AGENCY BONDS WITH COUPONS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FANNIE MAE;3135G0ZR7;12,350,693.62;AGENCY BONDS WITH COUPONS;12,300,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130A12B3;3,002,394.00;AGENCY BONDS WITH COUPONS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130A7CV5;4,414,958.38;AGENCY BONDS WITH COUPONS;4,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130A8QS5;3,888,567.00;AGENCY BONDS WITH COUPONS;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130A8Y72;2,979,025.83;AGENCY BONDS WITH COUPONS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130AABG2;9,347,759.33;AGENCY BONDS WITH COUPONS;9,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130AAE46;251,306.29;AGENCY BONDS WITH COUPONS;250,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130ABF92;9,467,380.96;AGENCY BONDS WITH COUPONS;9,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130ACE26;9,833,990.84;AGENCY BONDS WITH COUPONS;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130ADN32;5,022,394.45;AGENCY BONDS WITH COUPONS;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130ADRG9;4,053,140.67;AGENCY BONDS WITH COUPONS;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3130ADUJ9;16,061,607.56;AGENCY BONDS WITH COUPONS;16,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;313378WG2;2,010,171.78;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;313383HU8;1,977,709.22;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FEDERAL HOME LOAN BANK;3133XXP50;3,089,049.00;AGENCY BONDS WITH COUPONS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EADB2;10,271,219.99;AGENCY BONDS WITH COUPONS;10,200,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EADM8;4,965,006.39;AGENCY BONDS WITH COUPONS;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EADR7;4,934,253.33;AGENCY BONDS WITH COUPONS;5,000,000.00;FIXED INCOME;FI;1
