1-5;52;181-244
I-GLR;INTF;COUPON
I-GLR;INTF;YIELD
I-GLR;INTF;MARKET VALUE
LQR;CP;COUPON
LQR;CP;YIELD
LQR-CONTRA;COM;COUPON
LQR-CONTRA;COM;YIELD
LQR-CONTRA;TBAS;YIELD
FI;ABSCARD;YIELD
FI;ABSCARDFLOAT;YIELD
FI;AGC;YIELD
FI;ASB;YIELD
FI;CMBB;YIELD
FI;COR;YIELD
FI;FHLMC-G;YIELD
FI;FNMA;YIELD
FI;GNMA;YIELD
FI;GNMA II;YIELD
FI;NONAGY;YIELD
FI;TSY;YIELD
FIDELITY;EXFI;MARKET VALUE
MFSDEBT;EXFI;MARKET VALUE
PAYDEN;EXFI;MARKET VALUE
BNYMELLON;EXFI;MARKET VALUE
JPM;EXFI;MARKET VALUE
OAKTREE;EXFI;MARKET VALUE
PGIM;EXFI;MARKET VALUE
PIMCO;EXFI;MARKET VALUE
LTP;TSY;YIELD
LTP;TSY;RATING;168
TFA;COM;TICKER
TFA;COM;MARKET VALUE
